Date,Open,High,Low,Close,Adj Close,Volume
2023-12-27,1.766654,1.884415,1.758684,1.853798,1.853798,3642222
2023-12-28,1.852229,1.868640,1.745054,1.798284,1.798284,10584213
2023-12-29,1.798776,1.853724,1.788855,1.846094,1.846094,2473613
2023-12-30,1.846223,1.856015,1.820689,1.831865,1.831865,1835213
2023-12-31,1.832638,1.843608,1.751600,1.774331,1.774331,4279268
2024-01-01,1.773619,1.809108,1.759439,1.808096,1.808096,2305609
2024-01-02,1.808167,1.813036,1.775135,1.794878,1.794878,3879988
2024-01-03,1.795161,1.810365,1.706684,1.786329,1.786329,9032887
2024-01-04,1.789463,1.797603,1.774009,1.786173,1.786173,1859660
2024-01-05,1.788115,1.796572,1.780271,1.787118,1.787118,1777033
2024-01-06,1.787118,1.802828,1.770300,1.791031,1.791031,2150971
2024-01-07,1.791061,1.800304,1.786523,1.790489,1.790489,1823275
2024-01-08,1.790451,1.810506,1.778895,1.803553,1.803553,4646364
2024-01-09,1.803578,1.841391,1.800123,1.840752,1.840752,4743316
2024-01-10,1.840257,1.876965,1.830234,1.860629,1.860629,3310374
2024-01-11,1.860644,1.861986,1.824407,1.838126,1.838126,4761899
2024-01-12,1.838000,1.848491,1.812537,1.817929,1.817929,6125888
2024-01-13,1.817951,1.840924,1.811837,1.833377,1.833377,3606564
2024-01-14,1.833377,1.851946,1.830556,1.838389,1.838389,4537459
2024-01-15,1.838411,1.845749,1.832880,1.840849,1.840849,3991208
2024-01-16,1.840859,1.858750,1.840295,1.854777,1.854777,7366818
2024-01-17,1.854848,1.885192,1.851623,1.868649,1.868649,8877277
2024-01-18,1.868798,1.874934,1.845554,1.861740,1.861740,11458293
2024-01-19,1.861754,1.872135,1.846987,1.862741,1.862741,11589816
2024-01-20,1.862801,1.895801,1.861782,1.879736,1.879736,6171173
2024-01-21,1.879491,1.891480,1.872212,1.873460,1.873460,3613910
2024-01-22,1.873582,1.880601,1.852322,1.859323,1.859323,8841267
2024-01-23,1.859192,1.869235,1.830760,1.863581,1.863581,10527888
2024-01-24,1.863481,1.933516,1.856762,1.890733,1.890733,13908109
2024-01-25,1.890738,1.911500,1.879435,1.911172,1.911172,12283535
2024-01-26,1.911044,1.927838,1.892772,1.925710,1.925710,6822443
2024-01-27,1.926617,1.989209,1.915645,1.987251,1.987251,7390505
2024-01-28,1.988081,1.996593,1.925090,1.964651,1.964651,14641413
2024-01-29,1.963850,1.980287,1.924757,1.953293,1.953293,17318343
2024-01-30,1.953309,1.958777,1.939396,1.950213,1.950213,22498725
2024-01-31,1.950227,1.993322,1.923635,1.968641,1.968641,28572586
2024-02-01,1.969088,1.991350,1.936644,1.988196,1.988196,13201584
2024-02-02,1.988362,2.011445,1.965309,1.995556,1.995556,19931677
2024-02-03,1.995567,2.004120,1.986979,2.004120,2.004120,11629686
2024-02-04,2.004047,2.054557,2.001617,2.052405,2.052405,20559925
2024-02-05,2.052434,2.052453,1.972625,1.990069,1.990069,68000429
2024-02-06,1.990133,2.007987,1.989785,2.005862,2.005862,13172567
2024-02-07,2.005907,2.032329,1.999329,2.026942,2.026942,18788152
2024-02-08,2.027905,2.067280,2.022467,2.065531,2.065531,22638283
2024-02-09,2.065541,2.079695,2.034697,2.072436,2.072436,30004356
2024-02-10,2.072475,2.090102,2.060592,2.084957,2.084957,29052087
2024-02-11,2.084183,2.087447,2.073175,2.083706,2.083706,10967317
2024-02-12,2.084535,2.089326,2.070607,2.080057,2.080057,32800429
2024-02-13,2.079602,2.090771,2.070998,2.084642,2.084642,37858642
2024-02-14,2.084649,2.099835,2.078466,2.097553,2.097553,20983614
2024-02-15,2.097570,2.111036,2.097512,2.102038,2.102038,36610999
2024-02-16,2.102014,2.115253,2.095270,2.112340,2.112340,25984361
2024-02-17,2.112340,2.128461,2.099288,2.116404,2.116404,29876862
2024-02-18,2.116429,2.130910,2.110904,2.129176,2.129176,31019180
2024-02-19,2.129292,2.163360,2.125828,2.160536,2.160536,35651085
2024-02-20,2.160041,2.196132,2.146977,2.187754,2.187754,33454536
2024-02-21,2.187676,2.193763,2.156332,2.193763,2.193763,34204665
2024-02-22,2.193543,2.209193,2.189339,2.197693,2.197693,23813783
2024-02-23,2.198137,2.209242,2.193724,2.202248,2.202248,25021917
2024-02-24,2.202090,2.205111,2.183535,2.202342,2.202342,21642248
2024-02-25,2.202479,2.204314,2.199976,2.201918,2.201918,18871603
2024-02-26,2.203335,2.280299,2.197098,2.280299,2.280299,30386646
2024-02-27,2.280245,2.289405,2.220706,2.234719,2.234719,37404555
2024-02-28,2.234939,2.270226,2.197974,2.254835,2.254835,75401960
2024-02-29,2.255097,2.331479,2.234823,2.325517,2.325517,92946397
